,,,,,,,,,2 QB,Dynasty,Dynasty 2 QB,AAV,,Health Report,
Rank,Name,Team,Pos,Fantrax,Sleeper,ESPN,MFL,NFFC,Sleeper,Sleeper,Sleeper,MFL,ESPN,Status,Injury
T619,Carl Lawson,FA,LB,-,-,170.00,-,-,-,-,-,,,,
T619,Shaquille Leonard,FA,LB,-,-,170.00,-,-,-,-,-,,,,
T619,Eku Leota,ARI,LB,-,-,170.00,-,-,-,-,-,,,,
T619,Cody Lindenberg,LV,LB,-,-,170.00,-,-,-,-,-,,,,
T619,Cory Littleton,FA,LB,-,-,170.00,-,-,-,-,-,,,,
T619,Marist Liufau,DAL,LB,-,-,170.00,-,-,-,-,-,,,,
T619,Devin Lloyd,JAX,LB,-,-,170.00,-,-,-,274.90,-,,,,
T619,David Long,FA,LB,-,-,170.00,-,-,-,-,-,,,,
T619,Jesse Luketa,FA,LB,-,-,170.00,-,-,-,-,-,,,,
T619,Frankie Luvu,WAS,LB,340.00,-,170.00,-,-,-,226.20,-,,,,
T619,Blake Lynch,FA,LB,-,-,170.00,-,-,-,-,-,,,,
T619,Khalil Mack,LAC,LB,-,-,170.00,-,-,-,412.70,-,2.33,,,
T619,Tyreek Maddox-Williams,FA,LB,-,-,170.00,-,-,-,-,-,,,,
T619,Boye Mafe,SEA,LB,-,-,170.00,-,-,-,-,-,,,,
T619,Jordan Magee,WAS,LB,-,-,170.00,-,-,-,-,-,,,,
T619,DeAngelo Malone,ATL,LB,-,-,170.00,-,-,-,-,-,,,Ques,Ankle
T619,Marte Mapu,NE,LB,-,-,170.00,-,-,-,-,-,,,,
T619,Nico Marley,FA,LB,-,-,-,-,-,-,-,-,,,,
T619,Cassius Marsh,FA,LB,-,-,-,-,-,-,-,-,,,Ques,Knee
T619,Brandon Marshall,FA,LB,-,-,-,-,-,-,-,-,,,,
T619,Jacob Martin,WAS,LB,-,-,170.00,-,-,-,-,-,,,,
T619,Nick Martin,SF,LB,-,-,170.00,48.31,-,-,472.30,-,,,Ques,Concussion
T619,Bam Martin-Scott,CAR,LB,-,-,170.00,-,-,-,-,-,,,,
T619,Blake Martinez,FA,LB,-,-,170.00,-,-,-,-,-,,,,
T619,Easton Mascarenas-Arnold,CLE,LB,-,-,170.00,-,-,-,-,-,,,,
T619,Luke Masterson,FA,LB,-,-,170.00,-,-,-,-,-,,,,
T619,Tyler Matakevich,FA,LB,-,-,170.00,-,-,-,-,-,,,,
T619,Ochaun Mathis,NYJ,LB,-,-,170.00,-,-,-,-,-,,,,
T619,Kana'i Mauga,FA,LB,-,-,170.00,-,-,-,-,-,,,,
T619,Francisco Mauigoa,NYJ,LB,-,-,170.00,-,-,-,621.00,-,,,Ques,Neck
T619,Dorian Mausi,TEN,LB,-,-,170.00,-,-,-,-,-,,,,
T619,Albert McClellan,FA,LB,-,-,-,-,-,-,-,-,,,,
T619,Marcelino McCrary-Ball,NYJ,LB,-,-,170.00,-,-,-,-,-,,,Ques,Hamstring
T619,Cooper McDonald,KC,LB,-,-,170.00,-,-,-,-,-,,,,
T619,Isaiah McDuffie,GB,LB,-,-,170.00,-,-,-,-,-,,,,
T619,Micah McFadden,NYG,LB,-,-,170.00,-,-,-,402.20,-,,,Ques,Foot
T619,Cameron McGrone,FA,LB,-,-,170.00,-,-,-,-,-,,,,
T619,Benardrick McKinney,FA,LB,-,-,-,-,-,-,-,-,,,,
T619,Jalen McLeod,JAX,LB,-,-,170.00,-,-,-,-,-,,,Ques,Ankle
T619,Raekwon McMillan,FA,LB,-,-,170.00,-,-,-,-,-,,,,
T619,Kain Medrano,WAS,LB,-,-,170.00,-,-,-,-,-,,,,
T619,Matt Milano,BUF,LB,-,-,170.00,-,-,-,443.70,-,,,,
T619,Jarvis Miller,FA,LB,-,-,-,-,-,-,-,-,,,,
T619,Ventrell Miller,JAX,LB,-,-,170.00,-,-,-,-,-,,,,
T619,Smael Mondon,PHI,LB,-,-,170.00,-,-,-,-,-,,,,
T619,Jaylen Moody,FA,LB,-,-,-,-,-,-,-,-,,,,
T619,Jeremiah Moon,PIT,LB,-,-,170.00,-,-,-,-,-,,,,
T619,Grant Morgan,FA,LB,-,-,-,-,-,-,-,-,,,,
T619,Nicholas Morrow,FA,LB,-,-,170.00,-,-,-,-,-,,,,
T619,C.J. Mosley,FA,LB,-,-,170.00,-,-,-,487.70,-,,,Ques,Neck
T619,Darius Muasau,NYG,LB,-,-,170.00,-,-,-,-,-,,,Ques,Ankle
T619,Ryan Mueller,FA,LB,-,-,-,-,-,-,-,-,,,,
T619,Chad Muma,NE,LB,-,-,170.00,-,-,-,-,-,,,,
T619,Calvin Munson,FA,LB,-,-,170.00,-,-,-,-,-,,,,
T619,Caleb Murphy,NYG,LB,-,-,170.00,-,-,-,-,-,,,,
T619,Gabriel Murphy,FA,LB,-,-,170.00,-,-,-,-,-,,,,
T619,Kenneth Murray,DAL,LB,340.00,-,170.00,-,-,-,408.80,-,3.99,,,
T619,Tanner Muse,FA,LB,-,-,170.00,-,-,-,-,-,,,,
T619,Carl Nassib,FA,LB,-,-,-,-,-,-,-,-,,,,
T619,Anthony Nelson,TB,LB,-,-,170.00,-,-,-,-,-,,,Ques,Knee
T619,Yannick Ngakoue,FA,LB,-,-,170.00,-,-,-,-,-,,,,
T619,Ben Niemann,FA,LB,-,-,170.00,-,-,-,-,-,,,,
T619,Nick Niemann,GB,LB,-,-,170.00,-,-,-,-,-,,,,
T619,Maema Njongmeta,CAR,LB,-,-,170.00,-,-,-,-,-,,,,
T619,Tuasivi Nomura,FA,LB,-,-,-,-,-,-,-,-,,,,
T619,Bryce Notree,FA,LB,-,-,-,-,-,-,-,-,,,,
T619,Trevor Nowaske,DET,LB,-,-,170.00,-,-,-,-,-,,,,
T619,Uchenna Nwosu,SEA,LB,-,-,170.00,-,-,-,-,-,,,,
T619,Patrick O'Connell,SEA,LB,-,-,-,-,-,-,-,-,,,,
T619,Connor O'Toole,SEA,LB,-,-,-,-,-,-,-,-,,,,
T619,George Obinna,FA,LB,-,-,-,-,-,-,-,-,,,,
T619,Amen Ogbongbemiga,FA,LB,-,-,170.00,-,-,-,-,-,,,,
T619,Adetokunbo Ogundeji,FA,LB,-,-,170.00,-,-,-,-,-,,,,
T619,David Ojabo,BAL,LB,-,-,170.00,-,-,-,-,-,,,,
T619,Azeez Ojulari,PHI,LB,-,-,170.00,-,-,-,-,-,,,Ques,Hamstring
T619,BJ Ojulari,ARI,LB,-,-,170.00,-,-,-,-,-,,,,
T619,Bobby Okereke,NYG,LB,340.00,-,170.00,-,-,-,131.40,-,,,,
T619,Ogbo Okoronkwo,PHI,LB,-,-,170.00,-,-,-,539.00,-,,,Ques,Triceps
T619,Oluwafemi Oladejo,TEN,LB,-,-,170.00,-,-,-,-,-,,,Ques,Lower Leg
T619,Segun Olubi,IND,LB,-,-,170.00,-,-,-,-,-,,,,
T619,Foyesade Oluokun,JAX,LB,340.00,-,170.00,-,-,-,123.50,-,,,,
T619,Joshua Onujiogu,FA,LB,-,-,170.00,-,-,-,-,-,,,,
T619,Anfernee Orji,TEN,LB,-,-,170.00,-,-,-,-,-,,,Ques,Knee - ACL
T619,DeMarvion Overshown,DAL,LB,-,-,170.00,-,-,-,386.20,-,,,Ques,Concussion
T619,Odafe Oweh,LAC,LB,-,-,170.00,-,-,-,400.60,-,,,,
T619,Jeremiah Owusu-Koramoah,CLE,LB,-,-,170.00,-,-,-,658.00,-,,,Ques,Neck
T619,Ivan Pace,MIN,LB,-,-,170.00,-,-,-,324.30,-,,,,
T619,Owen Pappoe,ARI,LB,-,-,170.00,-,-,-,-,-,,,,
T619,Chris Paul,SEA,LB,-,-,170.00,69.87,-,-,-,-,,,,
T619,Donald Payne,FA,LB,-,-,-,-,-,-,-,-,,,,
T619,Chris Peace,FA,LB,-,-,-,-,-,-,-,-,,,,
T619,James Pearce,ATL,LB,-,-,170.00,55.63,-,-,304.50,-,,,,
T619,Ronnie Perkins,FA,LB,-,-,170.00,-,-,-,-,-,,,,
T619,Denzel Perryman,LAC,LB,-,-,170.00,-,-,-,-,-,,,,
T619,Del'Shawn Phillips,LAC,LB,-,-,170.00,-,-,-,-,-,,,,
T619,Jacob Phillips,IND,LB,-,-,170.00,-,-,-,-,-,,,Ques,Biceps
T619,Jaelan Phillips,PHI,LB,-,-,170.00,-,-,-,387.70,-,,,,
T619,Justin Phillips,FA,LB,-,-,-,-,-,-,-,-,,,,
T619,Jason Pierre-Paul,FA,LB,-,-,170.00,-,-,-,-,-,,,,
T619,Anthony Pittman,FA,LB,-,-,170.00,-,-,-,-,-,,,,
T619,Elijah Ponder,NE,LB,-,-,170.00,-,-,-,-,-,,,,
T619,Germaine Pratt,IND,LB,340.00,-,170.00,-,-,-,337.00,-,,,,
T619,Shaquille Quarterman,FA,LB,-,-,170.00,-,-,-,-,-,,,,
T619,Patrick Queen,PIT,LB,340.00,-,170.00,-,-,-,179.40,-,,,,
T619,Jose Ramirez,PHI,LB,-,-,170.00,-,-,-,-,-,,,,
T619,Haason Reddick,TB,LB,-,-,170.00,-,-,-,499.10,-,,,,
T619,Malik Reed,FA,LB,-,-,170.00,-,-,-,-,-,,,,
T619,Troy Reeder,LAR,LB,-,-,170.00,-,-,-,-,-,2.15,,,
T619,Otis Reese,NE,LB,-,-,170.00,-,-,-,-,-,2.62,,,
T619,Jalen Reeves-Maybin,CHI,LB,-,-,170.00,-,-,-,-,-,,,,
T619,Karene Reid,DEN,LB,-,-,170.00,-,-,-,-,-,,,,
T619,Winston Reid,CLE,LB,-,-,170.00,-,-,-,-,-,,,Ques,Back
T619,Jon Rhattigan,LV,LB,-,-,170.00,-,-,-,-,-,,,,
T619,Forrest Rhyne,FA,LB,-,-,-,-,-,-,-,-,,,,
T619,Monty Rice,FA,LB,-,-,170.00,-,-,-,-,-,,,,
T619,Bo Richter,MIN,LB,-,-,170.00,-,-,-,-,-,,,,
T619,Duke Riley,FA,LB,-,-,170.00,-,-,-,-,-,,,,
T619,Elandon Roberts,LV,LB,-,-,170.00,-,-,-,-,-,2.96,,,
T619,Curtis Robinson,SF,LB,-,-,170.00,-,-,-,-,-,,,,
T619,Mark Robinson,FA,LB,-,-,170.00,-,-,-,-,-,,,,
T619,Que Robinson,DEN,LB,-,-,170.00,-,-,-,-,-,,,,
T619,Tavius Robinson,BAL,LB,-,-,170.00,-,-,-,-,-,,,,
T619,Malcolm Rodriguez,DET,LB,-,-,170.00,-,-,-,-,-,,,,
T619,Christian Rozeboom,CAR,LB,340.00,-,170.00,-,-,-,380.70,-,2.30,,,
T619,Chris Rumph,NO,LB,-,-,170.00,-,-,-,-,-,,,,
T619,J.J. Russell,ARI,LB,-,-,170.00,-,-,-,528.00,-,,,Ques,Concussion
T619,Donald Rutledge,FA,LB,-,-,-,-,-,-,-,-,,,,
T619,Jack Sanborn,DAL,LB,-,-,170.00,-,-,-,494.80,-,,,Ques,Groin
T619,Drew Sanders,DEN,LB,-,-,170.00,-,-,-,-,-,,,Ques,Ankle
T619,Jack Sawyer,PIT,LB,-,-,170.00,92.45,-,-,474.90,-,,,,
T619,Carson Schwesinger,CLE,LB,-,-,170.00,37.62,-,-,190.90,-,,,Ques,Ankle
T619,Nic Scourton,CAR,LB,-,-,170.00,69.21,-,-,489.20,-,,,,
T619,Nephi Sewell,CHI,LB,-,-,170.00,-,-,-,-,-,,,,
T619,Noah Sewell,CHI,LB,-,-,170.00,-,-,-,-,-,,,Ques,Achilles
T619,Ty Shelby,FA,LB,-,-,170.00,-,-,-,-,-,,,,
T619,Brady Sheldon,FA,LB,-,-,-,-,-,-,-,-,,,,
T619,Jamie Sheriff,SEA,LB,-,-,170.00,-,-,-,-,-,,,,
T619,Jamien Sherwood,NYJ,LB,340.00,-,170.00,-,-,-,181.50,-,6.01,,,
T619,Cody Simon,ARI,LB,-,-,170.00,70.52,-,-,-,-,,,,
T619,Trenton Simpson,BAL,LB,-,-,170.00,-,-,-,-,-,,,,
T619,Alex Singleton,DEN,LB,340.00,-,170.00,-,-,-,192.70,-,6.87,,,
T619,Andre Smith,FA,LB,-,-,170.00,-,-,-,-,-,,,,
T619,Brandon Smith,FA,LB,-,-,170.00,-,-,-,-,-,,,,
T619,Jaylon Smith,FA,LB,-,-,170.00,-,-,-,-,-,,,,
T619,Josh Smith,FA,LB,-,-,-,-,-,-,-,-,,,,
T619,Nolan Smith,PHI,LB,-,-,170.00,-,-,-,282.10,-,,,,
T619,Josh Paschal,DET,DE,-,-,170.00,-,-,-,-,-,,,Ques,Back
T619,Scott Patchan,FA,DE,-,-,-,-,-,-,-,-,,,,
T619,Kwity Paye,IND,DE,-,-,170.00,-,-,-,-,-,,,,
T619,Pheldarius Payne,FA,DE,-,-,-,-,-,-,-,-,,,,
T619,Kyle Phillips,FA,DE,-,-,170.00,-,-,-,-,-,,,,
T619,Antwaun Powell-Ryland,CIN,DE,-,-,170.00,-,-,-,-,-,,,,
T619,Joshua Pryor,FA,DE,-,-,170.00,-,-,-,-,-,,,,
T619,C.J. Ravenell,TEN,DE,-,-,170.00,-,-,-,-,-,,,,
T619,LaBryan Ray,CAR,DE,-,-,170.00,-,-,-,-,-,,,,
T619,Shane Ray,FA,DE,-,-,-,-,-,-,-,-,,,,
T619,Derek Rivers,FA,DE,-,-,-,-,-,-,-,-,,,,
T619,Elijah Roberts,TB,DE,-,-,170.00,-,-,-,-,-,,,,
T619,A'Shawn Robinson,CAR,DE,-,-,170.00,-,-,-,-,-,,,,
T619,Chop Robinson,MIA,DE,-,-,170.00,-,-,-,398.10,-,,,Ques,Concussion
T619,Darius Robinson,ARI,DE,-,-,170.00,-,-,-,-,-,,,,
T619,Dominique Robinson,CHI,DE,-,-,170.00,-,-,-,-,-,,,,
T619,Janarius Robinson,KC,DE,-,-,170.00,-,-,-,-,-,,,Ques,Foot
T619,Isaac Rochell,FA,DE,-,-,170.00,-,-,-,608.00,-,,,,
T619,Greg Rousseau,BUF,DE,-,-,170.00,-,-,-,222.80,-,,,,
T619,Cameron Sample,CIN,DE,-,-,170.00,-,-,-,-,-,,,,
T619,Myjai Sanders,FA,DE,-,-,170.00,-,-,-,-,-,,,,
T619,Elerson Smith,FA,DE,-,-,170.00,-,-,-,-,-,,,,
T619,Preston Smith,WAS,DE,-,-,170.00,-,-,-,-,-,,,,
T619,Za'Darius Smith,FA,DE,-,-,170.00,-,-,-,-,-,,,,
T619,Dawuane Smoot,JAX,DE,-,-,170.00,-,-,-,-,-,,,,
T619,Charles Snowden,LV,DE,-,-,170.00,-,-,-,-,-,,,,
T619,Javon Solomon,BUF,DE,-,-,170.00,-,-,-,-,-,,,,
T619,Barryn Sorrell,GB,DE,-,-,170.00,-,-,-,-,-,,,,
T619,Shemar Stewart,CIN,DE,-,-,170.00,64.66,-,-,468.20,-,,,,
T619,Dante Stills,ARI,DE,-,-,170.00,-,-,-,-,-,,,,
T619,Kevin Strong,FA,DE,-,-,170.00,-,-,-,-,-,,,,
T619,Jason Strowbridge,FA,DE,-,-,-,-,-,-,-,-,,,,
T619,Maurice Swain,FA,DE,-,-,-,-,-,-,-,-,,,,
T619,Montez Sweat,CHI,DE,-,-,170.00,-,-,-,302.20,-,,,,
T619,Myron Tagovailoa-Amosa,FA,DE,-,-,-,-,-,-,-,-,,,,
T619,Darrell Taylor,FA,DE,-,-,170.00,-,-,-,-,-,,,,
T619,Cameron Thomas,CLE,DE,-,-,170.00,-,-,-,-,-,,,,
T619,BJ Thompson,FA,DE,-,-,170.00,-,-,-,-,-,,,Ques,Chest
T619,Casey Toohill,FA,DE,-,-,170.00,-,-,-,-,-,,,,
T619,Joe Tryon-Shoyinka,CHI,DE,-,-,170.00,-,-,-,-,-,,,,
T619,JT Tuimoloau,IND,DE,-,-,170.00,81.41,-,-,-,-,,,,
T619,Payton Turner,DAL,DE,-,-,170.00,-,-,-,-,-,,,Ques,Ribs
T619,Isaac Ukwu,FA,DE,-,-,170.00,-,-,-,-,-,,,,
T619,Brent Urban,BAL,DE,-,-,170.00,-,-,-,-,-,,,,
T619,Lukas Van Ness,GB,DE,-,-,170.00,-,-,-,-,-,,,,
T619,DeMarcus Walker,FA,DE,-,-,170.00,-,-,-,-,-,,,,
T619,Travon Walker,JAX,DE,-,-,170.00,-,-,-,205.90,-,,,,
T619,Dekoda Watson,FA,DE,-,-,-,-,-,-,-,-,,,,
T619,Eric Watts,NYJ,DE,-,-,170.00,-,-,-,-,-,,,,
T619,Tyrus Wheat,DET,DE,-,-,170.00,-,-,-,-,-,,,,
T619,Keion White,SF,DE,-,-,170.00,-,-,-,-,-,,,Ques,Ankle
T619,Cullen Wick,FA,DE,-,-,-,-,-,-,-,-,,,,
T619,Elijah Williams,MIN,DE,-,-,170.00,-,-,-,-,-,,,Ques,Ankle
T619,Leonard Williams,SEA,DE,-,-,170.00,-,-,-,307.20,-,,,,
T619,Mykel Williams,SF,DE,-,-,170.00,46.94,-,-,309.70,-,,,Ques,Knee - ACL
T619,Sam Williams,DAL,DE,-,-,170.00,-,-,-,-,-,,,,
T619,Tyree Wilson,LV,DE,-,-,170.00,-,-,-,-,-,,,,
T619,Deatrich Wise,WAS,DE,-,-,170.00,-,-,-,-,-,,,Ques,Quadriceps
T619,Colby Wooden,GB,DE,-,-,170.00,-,-,-,-,-,,,,
T619,Chris Wormley,IND,DE,-,-,170.00,-,-,-,-,-,,,,
T619,Alex Wright,CLE,DE,-,-,170.00,-,-,-,-,-,,,,
T619,Willie Yarbary,FA,DE,-,-,-,-,-,-,-,-,,,,
T619,Montravius Adams,FA,DT,-,-,170.00,-,-,-,-,-,,,,
T619,Myles Adams,FA,DT,-,-,170.00,-,-,-,-,-,,,,
T619,McTelvin Agim,FA,DT,-,-,170.00,-,-,-,-,-,,,,
T619,Tommy Akingbesote,BUF,DT,-,-,170.00,-,-,-,-,-,,,,
T619,Darius Alexander,NYG,DT,-,-,170.00,-,-,-,-,-,,,,
T619,Jonathan Allen,MIN,DT,-,-,170.00,-,-,-,505.60,-,,,,
T619,Zach Allen,DEN,DT,-,-,170.00,-,-,-,311.20,-,,,,
T619,Tyson Alualu,FA,DT,-,-,170.00,-,-,-,-,-,,,,
T619,Abdullah Anderson,FA,DT,-,-,170.00,-,-,-,-,-,,,,
T619,Evan Anderson,SF,DT,-,-,170.00,-,-,-,-,-,,,,
T619,Eli Ankou,FA,DT,-,-,170.00,-,-,-,-,-,,,,
T619,Arik Armstead,JAX,DT,-,-,170.00,-,-,-,-,-,,,,
T619,Ricky Barber,WAS,DT,-,-,-,-,-,-,-,-,,,,
T619,Christian Barmore,NE,DT,-,-,170.00,-,-,-,-,-,,,,
T619,Kyler Baugh,PIT,DT,-,-,-,-,-,-,-,-,,,,
T619,Travis Bell,FA,DT,-,-,170.00,-,-,-,-,-,,,,
T619,Keeanu Benton,PIT,DT,-,-,170.00,-,-,-,-,-,,,,
T619,Zeek Biggers,MIA,DT,-,-,170.00,-,-,-,-,-,,,,
T619,Andrew Billings,CHI,DT,-,-,170.00,-,-,-,-,-,,,,
T619,Josh Black,FA,DT,-,-,-,-,-,-,-,-,,,,
T619,Yahya Black,PIT,DT,-,-,170.00,-,-,-,-,-,,,,
T619,Ross Blacklock,FA,DT,-,-,170.00,-,-,-,-,-,,,,
T619,Quinton Bohanna,FA,DT,-,-,170.00,-,-,-,-,-,,,,
T619,Thomas Booker,LV,DT,-,-,170.00,-,-,-,-,-,,,,
T619,Khristian Boyd,NO,DT,-,-,170.00,-,-,-,-,-,,,,
T619,Bryan Bresee,NO,DT,-,-,170.00,-,-,-,-,-,,,Ques,Knee
T619,C.J. Brewer,FA,DT,-,-,170.00,-,-,-,-,-,,,,
T619,Jowon Briggs,NYJ,DT,-,-,170.00,-,-,-,-,-,,,,
T619,Warren Brinson,GB,DT,-,-,170.00,-,-,-,-,-,,,,
T619,Curtis Brooks,FA,DT,-,-,170.00,-,-,-,-,-,,,,
T619,Karl Brooks,GB,DT,-,-,170.00,-,-,-,-,-,,,,
T619,Vernon Broughton,NO,DT,-,-,170.00,-,-,-,-,-,,,Ques,Hip
T619,Bobby Brown,CAR,DT,-,-,170.00,-,-,-,-,-,,,,
T619,Taven Bryan,BAL,DT,-,-,170.00,-,-,-,-,-,,,Ques,Knee
T619,DeForest Buckner,IND,DT,-,-,170.00,-,-,-,232.90,-,,,Ques,Neck
T619,Isaiah Buggs,FA,DT,-,-,170.00,-,-,-,-,-,,,,
T619,Adam Butler,LV,DT,-,-,170.00,-,-,-,-,-,,,Ques,Biceps
T619,Matthew Butler,MIA,DT,-,-,170.00,-,-,-,-,-,,,,
T619,Jamaree Caldwell,LAC,DT,-,-,170.00,-,-,-,-,-,,,,
T619,Calais Campbell,ARI,DT,-,-,170.00,-,-,-,-,-,,,,
T619,DeWayne Carter,BUF,DT,-,-,170.00,-,-,-,-,-,,,Ques,Achilles
T619,Jalen Carter,PHI,DT,-,-,170.00,-,-,-,174.30,-,,,,
T619,Zach Carter,ARI,DT,-,-,170.00,-,-,-,-,-,,,,
T619,Elijah Chatman,NYG,DT,-,-,170.00,-,-,-,-,-,,,,
T619,DeMarcus Christmas,FA,DT,-,-,-,-,-,-,-,-,,,,
T619,Kenny Clark,DAL,DT,-,-,170.00,-,-,-,-,-,,,,
T619,Keondre Coburn,FA,DT,-,-,170.00,-,-,-,-,-,,,,
T619,L.J. Collier,ARI,DT,-,-,170.00,-,-,-,-,-,,,,
T619,Alfred Collins,SF,DT,-,-,170.00,-,-,-,-,-,,,,
T619,Maliek Collins,CLE,DT,-,-,170.00,-,-,-,-,-,,,Ques,Quadriceps
T619,Marquise Copeland,FA,DT,-,-,170.00,-,-,-,-,-,,,,
T619,Byron Cowart,FA,DT,-,-,170.00,-,-,-,-,-,,,Ques,Ankle
T619,Howard Cross,CIN,DT,-,-,170.00,-,-,-,-,-,,,,
T619,Jaden Crumedy,GB,DT,-,-,170.00,-,-,-,-,-,,,,
T619,D.J. Davidson,NYG,DT,-,-,170.00,-,-,-,-,-,,,Ques,Neck
T619,Marlon Davidson,FA,DT,-,-,170.00,-,-,-,-,-,,,,
T619,Carl Davis,FA,DT,-,-,170.00,-,-,-,-,-,,,,
T619,Domenique Davis,FA,DT,-,-,170.00,-,-,-,-,-,,,Ques,Undisclosed
T619,Jordan Davis,PHI,DT,-,-,170.00,-,-,-,662.90,-,,,,
T619,Kalia Davis,SF,DT,-,-,170.00,-,-,-,-,-,,,,
T619,Raekwon Davis,FA,DT,-,-,170.00,-,-,-,-,-,,,,
T619,Tyler Davis,LAR,DT,-,-,170.00,-,-,-,-,-,,,,
T619,Sheldon Day,WAS,DT,-,-,170.00,-,-,-,-,-,,,,
T619,Branson Deen,FA,DT,-,-,170.00,-,-,-,-,-,,,,
T619,Gervon Dexter,CHI,DT,-,-,170.00,-,-,-,498.30,-,,,,
T619,Matt Dickerson,JAX,DT,-,-,170.00,-,-,-,-,-,,,,
T619,Brandon Dorlus,ATL,DT,-,-,170.00,-,-,-,-,-,,,Ques,Hamstring
T619,Cory Durden,NE,DT,-,-,170.00,-,-,-,-,-,,,,
T619,Michael Dwumfour,FA,DT,-,-,170.00,-,-,-,-,-,,,,
T619,Justin Eboigbe,LAC,DT,-,-,170.00,-,-,-,-,-,,,,
T619,TeRah Edwards,LAC,DT,-,-,-,-,-,-,-,-,,,,
T619,Daniel Ekuale,PIT,DT,-,-,170.00,-,-,-,-,-,,,Ques,Knee - ACL
T619,Jordan Elliott,SF,DT,-,-,170.00,-,-,-,-,-,,,,
T619,Prince Emili,FA,DT,-,-,170.00,-,-,-,-,-,,,,
T619,Austin Faoliu,FA,DT,-,-,170.00,-,-,-,-,-,,,,
T619,Joshua Farmer,NE,DT,-,-,170.00,-,-,-,-,-,,,Ques,Hamstring
T619,Neil Farrell,FA,DT,-,-,170.00,-,-,-,-,-,,,,
T619,Folorunso Fatukasi,HOU,DT,-,-,170.00,-,-,-,-,-,,,Ques,Shoulder
T619,Breiden Fehoko,FA,DT,-,-,-,-,-,-,-,-,,,,
T619,Braden Fiske,LAR,DT,-,-,170.00,-,-,-,410.70,-,,,,
T619,Jonathan Ford,GB,DT,-,-,170.00,-,-,-,-,-,,,,
T619,Poona Ford,LAR,DT,-,-,170.00,-,-,-,-,-,,,,
T619,Leki Fotu,FA,DT,-,-,170.00,-,-,-,-,-,,,,
T619,Greg Gaines,TB,DT,-,-,170.00,-,-,-,-,-,,,,
T619,Neville Gallimore,IND,DT,-,-,170.00,-,-,-,-,-,,,,
T619,Elijah Garcia,ATL,DT,-,-,170.00,-,-,-,-,-,,,,
T619,Haskell Garrett,FA,DT,-,-,-,-,-,-,-,-,,,,
T619,Kevin Givens,SF,DT,-,-,170.00,-,-,-,-,-,,,,
T619,Davon Godchaux,NO,DT,-,-,170.00,-,-,-,-,-,,,,
T619,Eddie Goldman,WAS,DT,-,-,170.00,-,-,-,-,-,,,Ques,Concussion
T619,Adam Gotsis,FA,DT,-,-,170.00,-,-,-,-,-,,,,
T619,Mason Graham,CLE,DT,-,-,170.00,54.02,-,-,295.10,-,,,,
T619,Kenneth Grant,MIA,DT,-,-,170.00,75.21,-,-,-,-,,,,
T619,Mike Greene,FA,DT,-,-,170.00,-,-,-,-,-,,,,
T619,Thor Griffith,FA,DT,-,-,-,-,-,-,-,-,,,,
T619,Lawrence Guy,FA,DT,-,-,170.00,-,-,-,-,-,,,,
T619,Gabe Hall,PHI,DT,-,-,170.00,-,-,-,-,-,,,,
T619,Mike Hall,CLE,DT,-,-,170.00,-,-,-,-,-,,,,
T619,DaVon Hamilton,JAX,DT,-,-,170.00,-,-,-,-,-,,,,
T619,Justin Hamilton,FA,DT,-,-,-,-,-,-,-,-,,,,
T619,Kyonte Hamilton,HOU,DT,-,-,170.00,-,-,-,-,-,,,Ques,Ankle
T619,Ty Hamilton,LAR,DT,-,-,170.00,-,-,-,-,-,,,,
T619,Da'Shawn Hand,LAC,DT,-,-,170.00,-,-,-,-,-,,,,
T619,Johnathan Hankins,FA,DT,-,-,170.00,-,-,-,-,-,,,Ques,Back
T619,Javon Hargrave,MIN,DT,-,-,170.00,-,-,-,595.00,-,,,,
T619,Derrick Harmon,PIT,DT,-,-,170.00,60.83,-,-,393.10,-,,,,
T619,Jonathan Harris,FA,DT,-,-,170.00,-,-,-,-,-,,,,
T619,Marcus Harris,KC,DT,-,-,170.00,-,-,-,-,-,,,,
T619,Shelby Harris,CLE,DT,-,-,170.00,-,-,-,-,-,,,,
T619,Decarius Hawthorne,FA,DT,-,-,-,-,-,-,-,-,,,,
T619,Bruce Hector,FA,DT,-,-,170.00,-,-,-,-,-,,,,
T619,Jack Heflin,NYJ,DT,-,-,170.00,-,-,-,-,-,,,,
T619,Tonka Hemingway,LV,DT,-,-,170.00,-,-,-,-,-,,,,
T619,Matt Henningsen,DEN,DT,-,-,170.00,-,-,-,-,-,,,Ques,Achilles
T619,Jarrod Hewitt,FA,DT,-,-,-,-,-,-,-,-,,,,
T619,Cameron Heyward,PIT,DT,-,-,170.00,-,-,-,488.60,-,2.26,,,
T619,B.J. Hill,CIN,DT,-,-,170.00,-,-,-,618.00,-,,,,
T619,Trysten Hill,FA,DT,-,-,170.00,-,-,-,-,-,,,Ques,Undisclosed
T619,Kurt Hinish,HOU,DT,-,-,170.00,-,-,-,-,-,,,Ques,Undisclosed
T619,Chris Hinton,FA,DT,-,-,170.00,-,-,-,-,-,,,,
T619,Ralph Holley,FA,DT,-,-,-,-,-,-,-,-,,,,
T619,Timmy Horne,TEN,DT,-,-,170.00,-,-,-,-,-,,,,
T619,Phil Hoskins,FA,DT,-,-,170.00,-,-,-,-,-,,,,
T619,Albert Huggins,FA,DT,-,-,170.00,-,-,-,-,-,,,,
T619,Maurice Hurst,FA,DT,-,-,170.00,-,-,-,-,-,,,,
