,,,,,,,,,2 QB,Dynasty,Dynasty 2 QB,AAV,,Health Report,
Rank,Name,Team,Pos,Fantrax,Sleeper,ESPN,MFL,NFFC,Sleeper,Sleeper,Sleeper,MFL,ESPN,Status,Injury
193,Romeo Doubs,GB,WR,167.68,208.80,170.00,170.58,173.57,216.00,254.70,198.50,1.92,,,
194,Elijah Arroyo,SEA,TE,193.67,209.00,170.00,52.29,246.05,221.40,333.30,181.00,3.51,,,
195,Rico Dowdle,CAR,RB,168.47,209.20,170.00,153.72,168.08,211.20,170.00,170.50,3.06,,,
196,Jack Bech,LV,WR,201.62,211.00,170.00,46.86,217.54,204.00,283.90,123.50,5.41,,,
197,Woody Marks,HOU,RB,166.87,212.10,170.00,72.10,201.73,228.50,188.50,199.70,2.94,,,
198,DeAndre Hopkins,BAL,WR,220.78,213.60,170.00,197.25,221.45,232.60,439.60,276.30,2.40,,,
199,Elic Ayomanor,TEN,WR,236.25,214.00,170.00,62.20,215.64,230.40,269.40,163.00,1.96,,,
200,Will Shipley,PHI,RB,203.16,215.30,170.00,161.05,190.51,233.10,-,239.60,2.18,,,
201,Blake Corum,LAR,RB,194.29,216.70,170.00,174.67,185.98,223.70,291.40,156.00,0.79,,,
202,Jake Moody,WAS,K,304.51,218.80,170.00,167.50,-,524.30,450.80,260.00,,,,
203,Aaron Rodgers,PIT,QB,185.66,219.10,170.00,131.78,208.02,141.10,355.80,293.40,6.43,,,
204,Shedeur Sanders,CLE,QB,316.77,221.10,170.00,59.99,256.08,209.30,326.20,194.00,3.50,,,
205,Will Reichard,MIN,K,274.83,222.50,170.00,170.01,-,506.20,330.10,187.30,,,,
T206,Jaxson Dart,NYG,QB,259.07,223.20,170.00,51.67,231.83,172.90,165.90,153.60,8.71,,,
T206,Pat Freiermuth,PIT,TE,189.45,223.20,170.00,148.66,207.54,202.00,277.30,159.20,2.32,,,
208,Sam Darnold,SEA,QB,166.06,225.10,170.00,122.47,191.69,125.20,249.60,253.70,6.18,,,
209,Geno Smith,LV,QB,183.91,228.90,170.00,121.41,192.52,121.90,461.20,258.70,5.55,,Ques,Ankle
210,Mike Gesicki,CIN,TE,185.43,229.00,170.00,173.39,212.10,206.60,464.10,265.30,2.46,,,
211,Cade Otton,TB,TE,188.90,230.30,170.00,168.46,212.74,205.10,299.90,164.90,2.36,,,
212,Jalen McMillan,TB,WR,311.89,231.00,170.00,182.79,200.60,213.00,317.20,148.10,1.37,,,
213,Jaylen Wright,MIA,RB,191.39,232.60,170.00,170.05,186.75,215.10,348.40,165.30,0.90,,,
214,Tyler Lockett,LV,WR,276.94,233.40,170.00,187.46,242.69,249.10,692.40,286.20,1.94,,,
215,Jalen Coker,CAR,WR,222.17,234.70,170.00,180.98,229.68,230.70,372.50,195.30,1.64,,,
216,Pat Bryant,DEN,WR,274.61,235.80,170.00,60.32,207.96,222.00,321.60,193.60,3.22,,Ques,Hamstring
217,Tory Horton,SEA,WR,299.00,236.90,170.00,68.71,237.74,254.50,313.80,202.20,2.71,,Ques,Shin
218,Roschon Johnson,CHI,RB,227.21,237.80,170.00,179.86,199.84,223.30,426.70,208.00,0.53,,Ques,Thumb
219,Keaton Mitchell,BAL,RB,282.86,238.00,170.00,186.71,210.44,258.40,480.10,232.00,1.95,,,
220,Justice Hill,BAL,RB,220.84,239.90,170.00,174.08,202.14,229.60,500.50,249.00,1.76,,Ques,Neck
221,Kyle Monangai,CHI,RB,186.32,240.80,170.00,80.93,227.31,251.70,253.30,207.80,2.48,,,
222,Changa Hodge,FA,WR,-,241.00,-,-,-,-,-,-,,,,
223,Tyler Snead,FA,WR,-,242.00,-,-,-,-,-,-,,,,
224,Danny Davis,FA,WR,-,243.00,-,-,-,-,-,-,,,,
225,Nakia Griffin-Stewart,FA,TE,-,244.00,-,-,-,-,-,-,,,,
226,Tyler Renew,FA,RB,-,245.00,-,-,-,-,-,-,,,,
227,Leddie Brown,FA,RB,-,246.00,-,-,-,-,-,-,,,,
228,Chris Pierce,FA,TE,-,247.00,-,-,-,-,-,-,,,,
229,Marcus Simms,FA,WR,-,248.00,-,-,-,-,-,-,,,Ques,Undisclosed
230,Mataeo Durant,FA,RB,-,249.00,170.00,-,-,-,-,-,,,,
231,DeAndre Torrey,FA,RB,-,250.00,-,-,-,-,-,-,,,,
232,Caleb Huntley,FA,RB,-,251.00,-,-,-,319.00,-,-,,,,
